Unnamed: 0,rental_date,return_date,amount,release_year,rental_rate,length,replacement_cost,special_features,NC-17,PG,PG-13,R
14,2005-07-07 21:54:37+00:00,2005-07-14 17:56:37+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
15,2005-07-31 03:52:30+00:00,2005-08-08 09:22:30+00:00,4.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
16,2005-08-22 22:57:39+00:00,2005-08-23 23:00:39+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
17,2005-05-25 03:03:39+00:00,2005-06-02 02:12:39+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
18,2005-06-17 20:11:08+00:00,2005-06-22 17:01:08+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
19,2005-07-06 18:13:45+00:00,2005-07-14 17:35:45+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
20,2005-07-27 06:31:15+00:00,2005-07-29 06:52:15+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
21,2005-08-17 20:22:05+00:00,2005-08-26 16:34:05+00:00,4.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
22,2005-05-31 18:33:56+00:00,2005-06-07 15:30:56+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
23,2005-06-16 08:51:13+00:00,2005-06-24 04:23:13+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
25,2005-07-29 07:12:26+00:00,2005-08-02 03:26:26+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
26,2005-08-19 07:10:21+00:00,2005-08-26 05:00:21+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
27,2005-07-27 07:03:37+00:00,2005-07-29 03:18:37+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
28,2005-08-21 11:13:46+00:00,2005-08-25 13:07:46+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
29,2005-07-28 12:40:46+00:00,2005-07-30 18:22:46+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
30,2005-08-22 10:30:10+00:00,2005-08-28 13:43:10+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
31,2005-08-01 01:24:24+00:00,2005-08-03 21:44:24+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
32,2005-08-19 17:43:35+00:00,2005-08-26 13:31:35+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0
33,2005-05-25 03:04:41+00:00,2005-06-03 05:43:41+00:00,4.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
34,2005-06-16 04:46:02+00:00,2005-06-18 00:11:02+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
35,2005-07-10 10:33:39+00:00,2005-07-19 11:47:39+00:00,3.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
36,2005-07-29 02:23:49+00:00,2005-07-31 04:07:49+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
37,2005-08-21 04:31:03+00:00,2005-08-27 07:18:03+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
38,2005-05-28 02:31:36+00:00,2005-06-03 23:12:36+00:00,1.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
39,2005-06-16 00:52:36+00:00,2005-06-21 23:55:36+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
40,2005-07-09 03:56:09+00:00,2005-07-16 23:15:09+00:00,2.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
41,2005-07-29 05:38:43+00:00,2005-08-04 03:00:43+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
42,2005-08-23 05:07:01+00:00,2005-08-25 03:28:01+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
43,2005-05-31 19:51:39+00:00,2005-06-03 18:04:39+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
44,2005-06-21 11:04:53+00:00,2005-06-25 12:36:53+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
45,2005-07-09 14:52:53+00:00,2005-07-16 16:41:53+00:00,1.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
46,2005-07-28 05:00:09+00:00,2005-07-30 10:49:09+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
47,2005-08-23 21:42:00+00:00,2005-09-01 02:32:00+00:00,2.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
48,2005-06-01 00:04:10+00:00,2005-06-09 20:34:10+00:00,3.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
49,2005-06-15 06:21:46+00:00,2005-06-20 11:14:46+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
50,2005-07-08 08:01:02+00:00,2005-07-15 02:32:02+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
51,2005-07-28 10:44:03+00:00,2005-07-29 13:46:03+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
52,2005-08-23 22:23:11+00:00,2005-08-24 19:09:11+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1
53,2005-05-25 03:05:21+00:00,2005-06-02 08:33:21+00:00,6.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
54,2005-06-19 09:59:57+00:00,2005-06-24 15:44:57+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
55,2005-07-09 02:45:02+00:00,2005-07-12 03:59:02+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
56,2005-07-27 15:05:54+00:00,2005-08-02 15:36:54+00:00,3.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
57,2005-08-20 16:44:53+00:00,2005-08-22 13:18:53+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
58,2005-05-28 00:08:55+00:00,2005-06-01 18:32:55+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
59,2005-06-17 08:25:46+00:00,2005-06-26 13:37:46+00:00,6.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
60,2005-07-12 10:28:12+00:00,2005-07-19 10:19:12+00:00,4.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
61,2005-08-02 10:17:16+00:00,2005-08-09 09:58:16+00:00,4.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
62,2005-08-23 02:51:13+00:00,2005-08-29 03:46:13+00:00,3.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
63,2005-05-29 05:59:10+00:00,2005-06-01 06:45:10+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
64,2005-06-15 14:55:09+00:00,2005-06-18 19:14:09+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
65,2005-07-11 03:59:27+00:00,2005-07-15 03:38:27+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
66,2005-08-01 09:23:00+00:00,2005-08-04 05:12:00+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
67,2005-08-23 10:56:15+00:00,2005-08-24 11:37:15+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
68,2005-05-31 04:06:20+00:00,2005-06-01 01:29:20+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
69,2005-06-20 17:47:20+00:00,2005-06-25 20:00:20+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
70,2005-07-10 22:20:48+00:00,2005-07-17 04:09:48+00:00,4.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
71,2005-07-31 19:47:51+00:00,2005-08-02 23:06:51+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
72,2005-08-19 19:40:28+00:00,2005-08-23 01:20:28+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
73,2005-05-31 19:58:44+00:00,2005-06-05 22:05:44+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
74,2005-06-15 16:45:30+00:00,2005-06-17 21:12:30+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
75,2005-07-07 11:06:03+00:00,2005-07-13 05:56:03+00:00,3.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
76,2005-07-29 15:25:54+00:00,2005-08-04 14:16:54+00:00,3.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
77,2005-08-24 00:27:34+00:00,2005-08-28 20:48:34+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
78,2005-07-07 19:47:47+00:00,2005-07-10 15:45:47+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
79,2005-07-28 19:30:26+00:00,2005-08-05 20:29:26+00:00,5.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
80,2005-08-19 15:27:10+00:00,2005-08-22 09:32:10+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
81,2005-07-27 07:59:35+00:00,2005-08-05 07:33:35+00:00,6.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
82,2005-08-20 03:34:26+00:00,2005-08-23 22:33:26+00:00,2.99,2004.0,2.99,84.0,29.99,{Trailers},1,0,0,0
83,2005-05-25 03:08:07+00:00,2005-05-27 05:32:07+00:00,0.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
84,2005-06-21 16:12:41+00:00,2005-06-26 10:32:41+00:00,0.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
85,2005-07-08 14:16:00+00:00,2005-07-17 14:03:00+00:00,4.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
86,2005-07-29 11:37:48+00:00,2005-08-04 14:43:48+00:00,1.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
87,2005-08-23 20:44:56+00:00,2005-08-25 02:42:56+00:00,0.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
88,2005-05-28 09:36:58+00:00,2005-06-02 05:50:58+00:00,0.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
89,2005-06-18 16:54:18+00:00,2005-06-26 11:23:18+00:00,3.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
90,2005-07-10 11:17:01+00:00,2005-07-15 15:59:01+00:00,0.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
91,2005-07-29 15:18:27+00:00,2005-07-30 09:21:27+00:00,0.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
92,2005-08-18 00:11:35+00:00,2005-08-25 03:48:35+00:00,2.99,2008.0,0.99,92.0,19.99,"{Commentaries,""Behind the Scenes""}",1,0,0,0
93,2005-05-25 03:11:53+00:00,2005-05-30 00:34:53+00:00,1.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
94,2005-06-17 10:16:47+00:00,2005-06-21 10:03:47+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
95,2005-07-06 17:07:30+00:00,2005-07-09 20:26:30+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
96,2005-07-28 05:16:51+00:00,2005-08-02 04:45:51+00:00,1.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
97,2005-08-23 02:49:23+00:00,2005-09-01 07:50:23+00:00,6.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
98,2005-05-29 01:23:02+00:00,2005-06-02 21:39:02+00:00,1.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
99,2005-06-21 02:48:44+00:00,2005-06-22 01:25:44+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
100,2005-07-06 06:01:08+00:00,2005-07-07 07:14:08+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
101,2005-07-29 17:19:25+00:00,2005-08-06 12:33:25+00:00,4.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
102,2005-08-17 11:11:58+00:00,2005-08-26 16:08:58+00:00,5.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
103,2005-05-31 23:46:38+00:00,2005-06-05 18:03:38+00:00,1.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
104,2005-06-19 00:57:12+00:00,2005-06-20 19:42:12+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
105,2005-07-07 10:25:19+00:00,2005-07-11 04:50:19+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
106,2005-08-02 02:18:32+00:00,2005-08-10 22:41:32+00:00,5.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
107,2005-07-08 06:28:41+00:00,2005-07-17 03:59:41+00:00,4.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
108,2005-07-29 07:32:38+00:00,2005-07-31 06:12:38+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
109,2005-08-20 12:05:59+00:00,2005-08-29 16:15:59+00:00,5.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
110,2005-07-10 00:07:09+00:00,2005-07-12 22:33:09+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
111,2005-07-29 20:04:00+00:00,2005-08-05 16:37:00+00:00,3.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
112,2005-08-23 05:05:00+00:00,2005-08-27 02:56:00+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
113,2005-07-28 23:24:24+00:00,2005-07-31 18:31:24+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
114,2005-08-20 18:31:21+00:00,2005-08-29 22:29:21+00:00,5.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
115,2005-07-30 08:37:20+00:00,2005-08-01 03:54:20+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
116,2005-08-22 23:10:26+00:00,2005-08-28 01:55:26+00:00,1.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
117,2005-08-03 02:51:23+00:00,2005-08-09 05:52:23+00:00,3.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
118,2005-08-20 14:25:12+00:00,2005-08-21 14:49:12+00:00,0.99,2006.0,0.99,123.0,12.99,"{Trailers,Commentaries}",0,0,1,0
119,2005-05-25 03:31:46+00:00,2005-05-28 03:33:46+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
120,2005-06-16 17:28:44+00:00,2005-06-17 15:03:44+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
121,2005-07-07 10:20:52+00:00,2005-07-15 09:58:52+00:00,6.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
122,2005-08-01 06:58:27+00:00,2005-08-02 01:55:27+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
123,2005-05-31 13:12:13+00:00,2005-06-01 10:15:13+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
124,2005-06-18 06:22:07+00:00,2005-06-23 11:24:07+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
125,2005-07-06 17:57:31+00:00,2005-07-14 14:44:31+00:00,6.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
126,2005-07-27 15:06:00+00:00,2005-08-02 10:44:00+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
127,2005-08-19 03:37:33+00:00,2005-08-23 07:07:33+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
128,2005-06-21 19:58:25+00:00,2005-06-23 14:58:25+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
129,2005-07-07 04:58:00+00:00,2005-07-15 23:42:00+00:00,6.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
130,2005-07-31 22:10:56+00:00,2005-08-03 03:36:56+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
131,2005-08-22 04:29:39+00:00,2005-08-25 06:25:39+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
132,2005-07-12 10:42:31+00:00,2005-07-15 11:51:31+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
133,2005-07-29 12:18:20+00:00,2005-08-03 08:50:20+00:00,4.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
134,2005-08-18 18:06:06+00:00,2005-08-25 18:21:06+00:00,5.99,2005.0,4.99,181.0,29.99,"{""Deleted Scenes"",""Behind the Scenes""}",0,0,0,0
135,2005-05-25 04:00:40+00:00,2005-05-28 04:22:40+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
136,2005-06-16 18:28:33+00:00,2005-06-18 13:02:33+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
137,2005-07-08 11:48:12+00:00,2005-07-10 12:13:12+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
138,2005-08-01 11:31:25+00:00,2005-08-07 13:23:25+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
139,2005-08-17 22:13:55+00:00,2005-08-23 22:27:55+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
140,2005-06-17 05:53:19+00:00,2005-06-19 10:14:19+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
141,2005-07-08 11:45:17+00:00,2005-07-12 06:10:17+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
142,2005-07-28 16:39:11+00:00,2005-08-04 20:56:11+00:00,5.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
143,2005-08-21 13:20:03+00:00,2005-08-23 18:26:03+00:00,4.99,2005.0,4.99,56.0,9.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
144,2005-05-25 04:02:21+00:00,2005-06-01 02:44:21+00:00,5.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
145,2005-06-19 03:45:30+00:00,2005-06-24 05:21:30+00:00,5.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
146,2005-07-10 05:09:42+00:00,2005-07-17 09:47:42+00:00,6.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
147,2005-08-02 18:35:03+00:00,2005-08-03 20:02:03+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
149,2005-05-27 08:50:56+00:00,2005-06-01 08:43:56+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
150,2005-06-17 09:19:47+00:00,2005-06-21 07:39:47+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
151,2005-07-07 15:53:14+00:00,2005-07-09 11:12:14+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
152,2005-08-01 06:18:12+00:00,2005-08-03 02:32:12+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
153,2005-08-19 11:20:39+00:00,2005-08-21 16:31:39+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
154,2005-05-28 03:51:12+00:00,2005-05-29 00:26:12+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
155,2005-06-16 17:21:05+00:00,2005-06-19 14:13:05+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
156,2005-07-12 09:42:53+00:00,2005-07-19 05:23:53+00:00,6.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
157,2005-07-29 06:04:22+00:00,2005-08-05 08:21:22+00:00,6.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
158,2005-08-18 11:57:14+00:00,2005-08-27 11:07:14+00:00,8.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
159,2005-06-17 12:33:02+00:00,2005-06-21 18:00:02+00:00,4.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
160,2005-07-06 14:49:30+00:00,2005-07-13 14:44:30+00:00,6.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
161,2005-08-01 15:07:44+00:00,2005-08-08 12:22:44+00:00,6.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
162,2005-08-21 03:42:31+00:00,2005-08-29 01:44:31+00:00,7.99,2007.0,4.99,62.0,18.99,"{Trailers,Commentaries,""Deleted Scenes""}",0,0,0,0
163,2005-05-25 04:09:02+00:00,2005-06-03 00:56:02+00:00,8.99,2006.0,4.99,109.0,11.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
164,2005-06-19 18:49:42+00:00,2005-06-26 23:37:42+00:00,7.99,2006.0,4.99,109.0,11.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
165,2005-07-12 03:38:49+00:00,2005-07-17 21:46:49+00:00,6.99,2006.0,4.99,109.0,11.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
166,2005-07-30 12:50:25+00:00,2005-08-05 10:08:25+00:00,6.99,2006.0,4.99,109.0,11.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
167,2005-05-25 06:40:21+00:00,2005-05-29 10:34:21+00:00,4.99,2006.0,4.99,109.0,11.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
168,2005-06-16 15:17:22+00:00,2005-06-25 19:55:22+00:00,9.99,2006.0,4.99,109.0,11.99,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",0,0,1,0
